scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,109.34633,371.354,0.011055112,326.8523,196.62189,0.0060617276,117.62884,307.84058,0.017261352,102.034935,243.87062,0.01070135,123.38667,196.84067,0.0136493705,333.13327,202.88516,0.016545923,108.12233,374.3953,0.019353092
1,109.34878,371.354,0.011070493,326.8523,196.62189,0.006126008,117.664055,307.8412,0.017278686,102.11047,243.87093,0.010732444,123.38667,196.84402,0.013671528,333.13345,202.88916,0.016510647,108.12318,374.3953,0.019381616
2,109.90161,371.354,0.013004487,326.8523,196.62189,0.0057675843,117.67082,308.03934,0.016151382,102.11047,371.945,0.012396427,123.38667,371.54166,0.015715891,333.15933,202.89319,0.018214509,108.54385,374.3953,0.021929096
3,109.91524,371.354,0.013265488,319.50415,196.62189,0.005571522,117.664055,308.0509,0.01641046,102.1024,371.95642,0.012435409,123.38667,371.5477,0.015604328,333.27167,202.89319,0.019647302,108.5719,374.3953,0.021425843
4,109.91524,371.3573,0.013236986,319.49573,196.62189,0.0056149494,117.65847,308.0597,0.016448129,102.08603,371.95642,0.012364159,123.38667,371.55145,0.015544813,333.27167,202.89319,0.019493794,108.5719,374.3953,0.021287518
5,109.91524,371.3573,0.0131145,319.49573,189.67203,0.005566622,117.664055,308.06287,0.016374264,102.08603,371.95767,0.012286626,123.3914,371.5477,0.015310639,333.27167,202.85983,0.018918335,108.5719,374.4376,0.02120241
6,109.87912,371.35904,0.012915705,319.49573,189.6471,0.0055885795,117.66909,308.06287,0.016409349,102.044365,371.95767,0.012197463,123.3914,371.54846,0.0150349485,333.19836,202.84676,0.01734862,108.52908,374.53888,0.021202335
7,109.87912,371.3616,0.012814608,101.73974,285.03793,0.0056512016,117.66909,308.0597,0.016429236,102.02542,371.95767,0.012134077,123.39231,371.54846,0.0153500205,333.15576,202.6881,0.015969744,108.51727,374.56943,0.021145398
8,109.87685,371.36243,0.012836038,101.73974,285.04984,0.005591492,117.69535,308.0551,0.016609993,102.021614,371.96277,0.012147625,123.3929,371.5471,0.014977427,333.15576,202.6881,0.015830215,108.517265,374.57568,0.021143125
9,109.87685,371.36243,0.012838375,101.73974,285.0702,0.005531271,117.70451,308.0551,0.016598446,102.021614,371.9628,0.012137199,123.39231,371.5405,0.014989862,333.15576,202.6827,0.014830567,108.516235,374.57568,0.021208107
10,109.87921,371.36243,0.01280559,101.73974,285.0702,0.0055851345,117.706924,308.04977,0.016682848,102.02033,371.9628,0.012126425,123.39231,371.5405,0.014940306,333.1826,202.6827,0.015118678,108.516235,374.56943,0.021233356
