scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,334.36017,419.3226,0.0148392925,356.20834,405.70236,0.0074851024,340.7881,392.47482,0.0084794145,341.8209,420.52808,0.014355221,347.50308,419.76178,0.01644511,334.9199,423.59845,0.014521423,332.74234,409.30615,0.046307143
1,334.36102,419.3226,0.014843612,356.20834,405.70236,0.007485827,340.7881,392.47482,0.008479507,341.8209,420.5284,0.014363773,347.50308,419.76178,0.01644314,334.9199,423.59845,0.014517443,332.74234,409.30615,0.046314575
2,334.36108,419.3226,0.014840678,356.20834,405.70236,0.007490226,340.7881,392.47482,0.008480112,341.8209,420.5291,0.0143620055,347.50308,419.76196,0.016450744,334.9199,423.59845,0.014493266,332.74234,409.30615,0.046272323
3,339.67337,419.31342,0.013563794,308.82297,253.2226,0.007850196,302.12964,260.3562,0.008521308,341.4434,420.5727,0.010612946,347.4301,419.76196,0.0137879485,301.117,279.57385,0.013573734,332.36182,408.46085,0.024364617
4,339.80487,419.18765,0.012455443,308.8098,253.20578,0.0081571825,302.08524,260.27335,0.009093964,341.4057,420.5754,0.012031896,308.82214,260.3651,0.015254867,301.0442,279.32114,0.0159609,332.343,408.42023,0.035783626
5,339.83304,419.17596,0.012532799,308.80377,253.19666,0.009443155,302.08524,260.20422,0.009872097,341.16055,420.61523,0.0118364105,308.80963,260.32907,0.016051743,301.0418,279.07056,0.01907673,331.89862,407.9205,0.03495306
6,339.83304,419.17596,0.012877921,308.80377,253.17535,0.008794364,302.08524,260.20023,0.009534411,341.16055,420.61523,0.010295035,308.80975,260.32553,0.01518736,301.0418,279.07056,0.017934522,300.20334,261.41528,0.031021284
7,339.83102,419.1781,0.012663867,308.80487,253.17119,0.008793134,302.08524,260.20023,0.009555776,341.1591,420.62,0.009963618,308.80975,260.32385,0.015198303,301.0418,279.07056,0.01787788,300.20245,261.4142,0.030960606
8,339.8222,419.18216,0.012641428,308.80487,253.1652,0.008730467,302.0849,260.20053,0.00952794,341.1515,420.6217,0.009939664,308.80975,260.31674,0.015166406,301.03204,279.0812,0.01772122,300.19852,261.4139,0.030824112
9,339.8222,419.18216,0.012651377,308.80487,253.1652,0.008753304,302.0849,260.20422,0.009533207,341.1515,420.6223,0.009927107,308.8106,260.31674,0.015188148,301.03195,279.0812,0.017756479,300.1974,261.4139,0.030890059
10,339.8206,419.1822,0.012656115,308.80487,253.1652,0.008565084,302.0849,260.2051,0.009393196,341.14883,420.6223,0.009937662,308.8116,260.31674,0.014950652,301.03094,279.0812,0.017348168,300.19672,261.4139,0.02963108
