scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,368.89655,244.8595,0.028299822,157.98175,229.17111,0.012148166,134.8606,198.43146,0.01679652,359.27643,242.761,0.022261223,385.36557,243.27481,0.029189702,155.85426,219.05125,0.07055735,154.97067,195.18097,0.20607267
1,368.89655,244.91206,0.02829693,158.04282,229.17601,0.012127333,134.86266,198.43282,0.016789708,359.27643,242.76291,0.022265418,385.36627,243.35168,0.029213516,155.85443,219.05125,0.070450924,155.19498,195.18097,0.20648475
2,368.91177,244.91206,0.025625482,158.04633,229.24936,0.0117713455,134.919,198.50609,0.016654976,359.27643,242.76291,0.020647166,385.36627,243.35168,0.026017733,155.88889,219.0554,0.07761761,155.19498,195.18097,0.17690241
3,368.91177,244.89467,0.024685288,158.04282,229.24936,0.013653465,134.919,198.50609,0.018438952,359.27643,242.79424,0.01946668,385.36557,243.35168,0.025891347,155.88889,219.05125,0.09067026,155.19498,195.18097,0.23089424
4,368.91177,244.87083,0.024879308,158.02638,229.35446,0.01428207,134.919,198.6533,0.018421412,359.27643,242.86192,0.019811552,385.34564,243.31488,0.028174197,155.88889,219.05202,0.103484534,155.19498,195.18097,0.2458812
5,369.53757,244.89467,0.025456054,158.09315,229.3824,0.01255643,134.89748,198.6533,0.017182808,359.5932,257.4822,0.021758957,385.08932,243.33981,0.032889657,155.77783,219.05202,0.07847734,366.99762,252.07796,0.2626582
6,369.53757,244.87791,0.025764627,158.09315,229.3824,0.01424482,134.89748,198.6533,0.01796341,359.5932,257.4822,0.021361383,385.0852,243.3245,0.0327968,155.74019,219.08517,0.08486704,367.01593,252.07796,0.25958738
7,369.53757,244.8814,0.02621494,158.09315,229.3824,0.014388543,134.89748,198.6533,0.018022452,359.5932,257.4822,0.021297872,385.0852,243.33063,0.032336585,155.68687,219.08517,0.08192459,367.03522,252.07796,0.25771433
8,369.52597,244.8814,0.026103513,158.09315,229.3864,0.014760464,134.92119,198.65651,0.01791423,359.58194,257.4822,0.021307494,385.08838,243.33063,0.032467548,155.67856,219.09042,0.08991494,367.03943,252.07796,0.2565936
9,369.52228,244.88275,0.02605205,158.09315,229.38702,0.014770059,134.92119,198.65651,0.01772845,359.57712,257.4818,0.021151887,385.08838,243.33063,0.03226474,155.68213,219.09042,0.08722085,367.03946,252.07796,0.25211754
10,369.52228,244.88275,0.02618294,158.12343,229.40636,0.014465805,134.9258,198.68115,0.017689897,359.57712,257.4818,0.021286804,385.0883,243.33063,0.032366086,155.68687,219.09839,0.085760474,367.03943,252.0814,0.255578
