scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,244.64882,199.4356,0.2730708,243.51614,202.05525,0.049505856,245.36342,199.23723,0.080926366,246.38885,199.02182,0.03088056,218.98172,197.93954,0.015815197,239.50967,215.80177,0.038249467,220.18027,189.59155,0.014107396
1,244.64882,199.4356,0.27323836,243.518,202.05537,0.04980931,245.36342,199.23723,0.08111476,246.38885,199.02182,0.030856298,218.98668,197.94601,0.01577766,239.50978,215.80177,0.038192835,220.1824,189.59782,0.014063375
2,244.64882,199.4356,0.2728492,243.51944,202.05605,0.049773317,245.36342,199.23723,0.081096366,246.38885,199.02182,0.030851249,218.98993,197.94708,0.015753977,239.51561,215.80177,0.038168438,220.18423,189.5981,0.014100889
3,244.6501,198.94626,0.2023631,245.82925,208.56577,0.034332056,244.46681,199.02548,0.06200062,236.32361,199.01714,0.023682205,411.89093,208.09845,0.022985188,240.02437,202.05862,0.050335128,399.69943,214.29013,0.056997865
4,244.64801,198.88333,0.20185454,245.82925,208.56577,0.0356591,244.43106,198.96674,0.061342172,236.2032,198.97987,0.023373915,411.89093,208.09845,0.023813946,240.02437,202.05862,0.046577584,402.02338,215.339,0.05666461
5,244.58148,198.88054,0.20421177,245.82925,208.56577,0.03552658,244.36333,198.95978,0.064718746,236.18448,198.9516,0.025184968,411.89093,208.09845,0.02305403,240.02437,202.05862,0.047910094,402.06262,215.42256,0.05531528
6,244.5694,195.6912,0.13164088,240.19879,197.15332,0.024901014,243.01147,198.68341,0.04702723,234.5264,198.89484,0.022551907,404.2016,207.8216,0.013990661,239.30447,202.28386,0.043565925,402.57007,217.16925,0.022406239
7,244.51424,195.6912,0.13182606,240.06633,197.15332,0.025040166,243.01147,198.68314,0.04740321,234.5264,198.86978,0.023179878,404.2016,207.8216,0.014390323,239.30447,202.28386,0.045286305,402.57224,217.16925,0.021704344
8,244.51276,195.6912,0.1263461,240.06342,197.15332,0.024479223,243.01147,198.6571,0.046770602,234.5264,198.85432,0.022650111,404.2016,207.8216,0.014557241,239.30447,202.28386,0.044191383,402.57874,217.16925,0.021981098
9,244.36853,195.74432,0.13983361,240.06314,197.21512,0.025804654,243.28017,198.65343,0.04911856,234.7813,198.83357,0.0252965,404.2097,207.875,0.014927279,239.54688,202.21786,0.049829435,402.57874,217.1446,0.022713302
10,244.36853,195.74901,0.13787502,240.06342,197.21733,0.025623877,243.29297,198.62274,0.0489326,234.80492,198.8212,0.02502531,404.2173,207.88951,0.015106589,239.57906,202.21687,0.050482392,402.58508,217.13937,0.023412948
