scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,111.037865,308.5921,0.00714062,333.709,173.24896,0.006040882,117.137535,324.21762,0.014594252,132.995,260.4438,0.012257567,355.94318,181.41788,0.014647233,355.76877,167.71062,0.011103526,308.4996,280.35324,0.019361265
1,111.037865,308.5921,0.0071427166,333.709,173.24948,0.006043845,117.13833,324.21982,0.014589978,132.995,260.4438,0.012230437,355.94318,181.41884,0.014640356,355.76877,167.71237,0.0111031085,308.4996,280.35324,0.019562745
2,111.037865,308.594,0.007159513,333.709,173.25073,0.0060575423,117.13833,324.22083,0.014597559,132.995,260.4438,0.012237098,355.94318,181.41946,0.014656957,355.76877,167.71611,0.011148788,308.4996,280.35324,0.019558614
3,110.98496,308.594,0.0069577983,117.45843,285.44055,0.005207921,117.137535,324.2969,0.015004496,132.8802,260.4229,0.011541446,58.18813,310.44702,0.0118782725,125.6852,308.67493,0.009839621,210.23213,265.67398,0.019826157
4,110.9684,308.59763,0.006823498,117.45843,285.44055,0.0052879504,117.13833,324.2969,0.014952687,132.8802,260.4102,0.010966858,58.18813,310.483,0.012091903,125.624695,308.67493,0.009649709,210.23213,265.67398,0.01832672
5,110.96318,308.64395,0.0068371515,117.45843,285.44055,0.0052942876,117.106674,324.2969,0.014837376,132.8802,260.39035,0.011291217,58.18813,310.48962,0.011866307,125.52385,308.67493,0.009595655,210.22783,265.6248,0.019206885
6,110.96318,308.64395,0.006728792,140.80031,261.32516,0.0056125596,117.07975,324.28653,0.014234041,132.90895,260.3506,0.012418615,58.23324,310.49612,0.012644749,125.50141,308.59628,0.009878328,210.22783,265.6248,0.019511824
7,110.96318,308.64395,0.006619623,140.80898,261.32516,0.0055911536,117.07975,324.28494,0.014091128,132.92804,260.3498,0.01256416,58.23324,310.50928,0.012539595,125.516106,308.58688,0.009842856,209.91783,265.4708,0.019719793
8,110.9684,308.64395,0.006625354,140.80898,245.97383,0.0055070426,117.08735,324.28494,0.014058764,132.93706,260.3495,0.012483634,58.23324,310.54572,0.012698215,125.516106,308.58688,0.009797236,209.87823,265.42175,0.019893507
9,110.984505,308.66608,0.0067981565,140.80867,245.97383,0.005567055,117.08735,324.28653,0.014288421,132.92804,260.3495,0.0126144625,58.20861,310.58438,0.012607491,125.50141,308.59628,0.009732251,209.87823,265.42175,0.018625839
10,111.01949,308.69635,0.0069886246,140.80867,261.32516,0.005506788,117.08735,324.34186,0.0147175435,132.92451,260.32092,0.012325894,58.206764,310.62375,0.012790479,110.73337,308.7418,0.009908533,209.87823,265.4708,0.019156685
