scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,459.8317,456.42862,0.025373667,451.5378,433.47342,0.008736782,439.92133,468.48547,0.024254285,454.87683,452.9178,0.028752232,455.2894,440.6836,0.020919723,332.90027,202.56554,0.04009915,448.97266,444.6031,0.30073726
1,459.8324,456.65414,0.02533561,451.5378,433.47342,0.008734971,439.92133,468.48587,0.024246711,454.8775,466.74326,0.028727343,455.2894,440.6836,0.020908102,332.90286,202.5658,0.04006948,448.97647,444.6039,0.3000704
2,459.89325,456.65558,0.03510665,453.17227,466.154,0.011720109,439.92133,468.5521,0.025043063,455.09387,466.7448,0.036498256,457.95364,440.6836,0.024435489,453.95438,455.50732,0.060033295,449.18878,444.7573,0.4580369
3,459.89325,456.65634,0.026447183,451.5378,433.47342,0.008943834,439.92133,468.5601,0.024640609,455.1342,466.83926,0.029286845,455.2894,440.61954,0.021805529,453.95715,460.5578,0.0372029,449.19565,444.7573,0.3495144
4,459.89557,456.65634,0.026505668,451.5378,433.47342,0.008893325,448.83698,469.27667,0.024732541,455.1342,466.83926,0.029392565,455.2894,440.61954,0.021689827,453.95715,460.5578,0.037169784,449.3199,444.7573,0.3483588
5,459.89325,456.65906,0.026812468,453.14526,466.2858,0.009425046,448.83698,469.3923,0.02488548,455.1342,466.84198,0.029782798,451.88202,433.8306,0.022771174,453.95438,460.5578,0.040131483,449.3199,444.72388,0.36498505
6,459.8918,456.66553,0.028780382,453.14566,466.34122,0.01087037,448.84528,469.3936,0.025210626,455.10797,466.84198,0.030569734,451.88202,433.8449,0.022111267,453.9008,460.49728,0.039100807,449.32672,444.723,0.36314428
7,459.8835,456.67194,0.029865887,453.14566,466.36392,0.011555909,448.84528,469.3936,0.025540762,455.102,466.84198,0.03150054,451.88202,433.8449,0.02180539,453.88846,460.4644,0.042275514,449.32672,444.723,0.37626004
8,459.8819,456.67194,0.029921504,453.15485,466.3697,0.011509047,448.83698,469.3936,0.025526024,455.0987,466.84198,0.031404477,458.0978,440.35458,0.021896344,453.8823,460.45807,0.042188093,449.3199,444.7058,0.37624842
9,459.79086,457.00418,0.021949489,453.29456,466.40652,0.010238439,439.7371,468.72696,0.024911696,455.0525,467.03598,0.02815467,458.0978,440.29422,0.021788187,332.79636,202.62256,0.036175027,449.02524,444.7058,0.29723492
10,459.79086,457.00418,0.01954498,453.29456,466.40652,0.008982178,439.7371,468.72696,0.023940623,454.99533,467.03598,0.028435668,458.0978,440.35458,0.021326657,332.7947,202.62256,0.036442358,449.02524,444.70572,0.27614495
