scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,149.85686,339.61203,0.016260419,164.35909,326.75574,0.015417335,135.49182,355.22717,0.023245666,118.803444,339.97913,0.031303074,37.42719,306.97437,0.025379606,148.79674,319.634,0.17259419,154.5946,291.3221,0.28540128
1,149.86513,339.62164,0.016292786,164.36252,326.75574,0.015422807,135.49182,355.22717,0.023250088,118.80582,339.9895,0.031202404,37.449516,306.97437,0.02482774,148.79674,319.75058,0.17228734,154.5946,291.334,0.28502122
2,149.86612,339.6231,0.014625519,164.36307,326.75574,0.015695227,135.49182,355.22717,0.024869177,133.30424,354.3187,0.028398853,37.534595,306.97437,0.02191536,148.79674,319.75058,0.17516622,154.5946,291.34402,0.29126516
3,149.86531,339.6231,0.014981162,164.36307,326.75223,0.015778763,135.47852,355.22717,0.024805035,133.32129,354.32294,0.028235754,37.54598,306.95862,0.025894001,148.79674,319.70013,0.17590147,154.5946,291.334,0.28916043
4,149.86531,339.6231,0.01508436,164.36383,326.75223,0.01589763,135.47852,355.22717,0.024873324,133.32129,354.32294,0.028136473,37.585148,306.95862,0.024370845,148.77092,319.70013,0.17350008,154.5946,291.3221,0.28533727
5,149.86531,339.6289,0.015055166,164.36307,326.7363,0.015629442,135.47852,355.2265,0.024792798,133.30424,354.3187,0.028204115,37.54598,306.9493,0.023722371,148.77092,319.70013,0.17653738,154.68777,291.30643,0.29634008
6,149.86531,339.6375,0.014872721,164.36383,326.73218,0.015546313,135.463,355.22137,0.024820697,133.27914,354.3187,0.02908268,37.54598,306.9493,0.022816177,148.75853,319.65237,0.17985716,154.68777,291.30643,0.2994022
7,149.85594,339.64282,0.014257901,164.36383,326.73218,0.015638534,135.48192,355.23276,0.02449916,118.71931,339.81915,0.028284352,37.54598,306.94885,0.023087267,148.75995,319.65237,0.17757313,154.68777,291.30643,0.29919428
8,149.83282,339.6659,0.014095934,164.36781,326.7256,0.01563741,135.48192,355.2241,0.024758926,118.71931,339.81915,0.02831499,37.53662,306.9479,0.02354069,148.75995,319.63754,0.17537713,154.68414,291.37015,0.29226562
9,149.83282,339.6835,0.014164544,164.37215,326.7256,0.015251955,135.48192,355.2241,0.024920149,118.70109,339.86203,0.028464576,37.52863,306.94638,0.022937685,148.77045,319.63754,0.17482759,154.66988,291.37625,0.29518577
10,149.83199,339.68738,0.014144811,164.37823,326.7422,0.015305928,135.47852,355.23276,0.024958808,133.27914,354.3267,0.028281167,37.440674,306.62488,0.025403101,148.77045,319.68317,0.17440689,154.666,291.38354,0.29566875
