scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,132.3914,190.34763,0.009695963,244.67085,212.18242,0.0111642815,326.49094,212.7622,0.015405201,326.22968,212.17613,0.015386659,140.14757,179.951,0.01555287,221.61714,204.16336,0.046845187,331.68338,198.07219,0.027980259
1,132.39963,190.53606,0.009744808,244.68129,212.20679,0.011205178,326.5089,212.79355,0.015659757,326.24384,212.17867,0.0155087225,243.72964,179.9771,0.015615726,221.65364,204.16637,0.047483403,331.68338,198.08015,0.028193798
2,209.7439,196.97633,0.009200067,244.69534,212.211,0.010173781,326.64948,212.86636,0.01255558,326.37595,212.1991,0.01382371,243.77206,180.04738,0.02035847,221.65364,204.28148,0.049690295,331.68338,198.10063,0.023044484
3,223.46771,190.53606,0.009197479,244.72696,212.211,0.011057018,326.67523,212.87437,0.012574755,326.4014,212.1991,0.013733146,243.77206,180.08167,0.015587605,221.65163,204.36124,0.055059545,331.5953,198.13864,0.022767954
4,223.61305,190.39749,0.009039084,244.7307,212.22234,0.010078274,326.72232,212.87437,0.014880361,326.44437,212.1991,0.015964037,243.79977,180.25444,0.015333196,221.65163,204.36124,0.050762195,331.44827,198.25589,0.023781437
5,223.61305,190.39749,0.009134876,326.21124,212.71048,0.010216786,326.75485,212.90302,0.015240674,326.4618,212.20825,0.016146054,243.80673,180.23175,0.015344882,221.65364,204.36124,0.049610294,331.4378,198.28142,0.023961017
6,223.50975,190.39749,0.009512682,326.26294,212.72577,0.010448051,326.8128,212.93321,0.01568459,326.51764,212.2229,0.016504839,243.80727,180.22018,0.015278661,221.84608,204.29851,0.045195952,327.94733,203.52519,0.024432737
7,223.50975,190.39749,0.009457665,326.26294,212.72577,0.011348581,326.8128,212.93321,0.017031083,326.51764,212.2229,0.017353524,243.82787,180.22139,0.015046986,221.84608,204.29851,0.0430253,327.92273,203.72379,0.026726106
8,43.496822,299.94043,0.010112527,326.26294,212.72577,0.011327933,326.8128,212.93321,0.016887786,326.51764,212.2229,0.017274622,243.8307,180.22139,0.015530582,221.84608,204.29851,0.04167586,327.47516,203.73825,0.026575923
9,43.496822,299.94043,0.010081075,244.71169,212.15947,0.009324556,326.645,212.84416,0.012149955,326.38507,212.203,0.014578132,243.84338,180.22139,0.015657078,221.81113,204.29851,0.04149388,326.79028,215.81416,0.024213422
10,43.496822,299.94043,0.010148559,244.71169,212.15561,0.009277949,326.645,212.84416,0.011857663,326.38507,212.203,0.014217224,243.85052,180.22139,0.015631314,221.81033,204.29851,0.04166811,326.79028,215.88246,0.02382859
