scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,43.037712,331.78455,0.020608865,70.77789,485.5398,0.013345096,70.49244,485.54715,0.019659422,326.3541,451.7667,0.021220623,108.49105,473.39993,0.040424727,87.44652,469.9909,0.21373011,105.251976,463.2853,0.37760472
1,43.044296,331.78458,0.020673798,70.77789,485.53995,0.013265874,70.49244,485.5479,0.019630244,326.36105,451.76855,0.021134658,108.53801,473.39993,0.040612727,87.46004,469.9909,0.21463002,105.256355,463.2853,0.38040674
2,98.66977,464.8995,0.021289023,70.77789,485.56616,0.013034218,70.49244,485.548,0.022805102,326.37534,451.79,0.017767547,108.53801,473.39993,0.040017616,87.51932,469.99564,0.18976352,105.4561,463.2853,0.373502
3,98.680626,464.91693,0.021564158,70.77789,485.57205,0.012701564,70.49244,485.55725,0.023580741,326.36804,451.79,0.01788892,108.53369,473.39993,0.038516965,87.51932,469.993,0.18888824,105.4561,463.25528,0.36354935
4,98.68321,464.9171,0.021675974,70.76836,485.57205,0.012810111,70.49025,485.5591,0.023414837,326.36105,451.7869,0.017912587,108.49741,473.39993,0.039021533,87.51932,469.9909,0.19048408,105.4561,463.25528,0.36517754
5,98.7151,464.93262,0.020598242,70.755104,485.5722,0.013464714,70.47971,485.566,0.022716483,326.36105,451.78702,0.017882943,108.49741,473.40475,0.039307605,87.51138,469.9905,0.1982895,105.44135,463.25528,0.38345072
6,98.71826,464.93262,0.020581668,70.76836,485.5722,0.01320986,70.48535,485.566,0.023523195,326.36136,451.78958,0.017591547,108.47867,473.40475,0.03903352,87.51133,469.9836,0.19276227,105.420906,463.26294,0.3789628
7,98.71826,464.93262,0.020604908,70.77284,485.5716,0.013328407,70.48535,485.566,0.023432797,326.36133,451.78958,0.017695654,108.472885,473.40475,0.039267495,87.50919,469.97995,0.19392234,105.420906,463.26294,0.3808695
8,98.7151,464.93262,0.020714609,70.76029,485.5716,0.01341267,70.48482,485.56293,0.023082418,326.36133,451.78958,0.017889665,108.47153,473.40445,0.0392137,87.48935,469.97537,0.19546123,105.42033,463.26294,0.38020664
9,98.714516,464.93262,0.020579556,70.76029,485.57138,0.0136029,70.48482,485.56293,0.023223301,326.36133,451.78958,0.01789927,108.47049,473.40375,0.039661177,87.48935,469.97537,0.19520874,105.41982,463.26154,0.38129982
10,98.71397,464.93262,0.020609777,70.77009,485.56995,0.013703707,70.48482,485.56293,0.02319539,326.36136,451.79172,0.017985443,108.47049,473.40375,0.039338984,87.48935,469.97537,0.19562057,105.41654,463.26126,0.38001752
