scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,43.559914,315.76495,0.012458167,319.31232,189.96481,0.0049581947,326.64795,212.35948,0.01156713,326.47864,211.513,0.009994909,50.453033,309.89212,0.016853204,327.80502,190.89635,0.0127136335,306.47046,266.48123,0.02396176
1,43.559914,315.76495,0.012457721,319.70386,205.22478,0.0049586133,326.6562,212.36005,0.011550116,326.4845,211.513,0.010006288,50.48738,309.89227,0.016854748,327.8079,190.9006,0.012711944,306.47046,266.5205,0.02365556
2,43.559914,315.76495,0.01263334,319.70502,205.22484,0.005613922,327.14517,212.3845,0.0131412875,326.8483,211.513,0.010539949,50.48738,309.9256,0.017552264,334.04672,210.47934,0.01806927,306.47046,266.5205,0.026362587
3,43.546227,315.76047,0.01274972,341.15268,213.34702,0.00543562,327.1884,212.39778,0.012777251,326.85092,211.4968,0.010486872,50.48279,309.94214,0.017741796,334.07004,210.63338,0.015596496,306.39615,266.50046,0.025857419
4,43.543987,315.76047,0.012823073,341.17508,213.34702,0.0055733505,327.1884,212.39778,0.012911365,326.85092,211.48962,0.010580756,50.48279,309.96014,0.01779658,334.12302,210.63338,0.015665684,306.39615,266.50046,0.026786895
5,43.540546,315.75787,0.012811193,341.18393,213.34702,0.005869412,327.1526,212.38594,0.01335277,326.8509,211.48315,0.010579545,50.48279,309.97192,0.017802555,334.12302,210.63338,0.017366517,306.39615,266.50568,0.026667688
6,43.53983,315.75787,0.0127231795,341.1902,213.33896,0.0056829224,327.16284,212.38594,0.012654728,326.8509,211.48279,0.010333155,50.481255,309.98578,0.01774726,339.89484,205.07565,0.01750135,306.39615,266.50446,0.026375452
7,43.540546,315.75827,0.012876159,341.2024,213.33842,0.0057696267,327.1591,212.38403,0.012707555,326.8504,211.48279,0.010364799,50.480774,309.98584,0.017741477,339.90002,205.07117,0.017700193,306.39746,266.50568,0.02639641
8,43.53777,315.75827,0.012868393,341.21127,213.33443,0.0058045876,327.1591,212.38403,0.0127221225,326.84723,211.48279,0.0103825005,50.47047,309.99643,0.017742647,339.90002,205.07117,0.01809211,306.40036,266.50568,0.026520146
9,43.53771,315.75787,0.012805999,341.21127,213.33365,0.0057736374,327.1591,212.38281,0.012689248,326.8461,211.47792,0.010373778,50.468845,309.99643,0.017629687,339.90564,205.0681,0.018036406,306.40036,266.50568,0.026345363
10,43.52818,315.75537,0.013060225,341.21127,213.33289,0.0057816445,327.1591,212.37903,0.012692918,326.8461,211.47552,0.010370317,50.47047,309.99643,0.017787866,339.90564,205.05928,0.01816815,306.40036,266.50775,0.026235124
