scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,294.32663,267.29608,0.0077939793,163.88391,260.79617,0.0055282097,293.8275,212.49521,0.007639498,293.05966,196.39363,0.008043436,315.75674,259.54343,0.014631767,301.29333,279.9098,0.013163672,306.08234,266.3378,0.029273685
1,294.4658,267.2981,0.006409723,163.91373,260.79617,0.004510986,325.6202,212.49521,0.0070335884,293.111,274.6687,0.008064194,323.78552,259.60718,0.013595449,301.39978,280.27704,0.011425317,306.20422,266.3378,0.024747059
2,301.9394,274.25754,0.0064682653,316.28714,260.90817,0.004581897,325.6202,212.51382,0.0067454553,293.16873,274.6687,0.00814987,323.78552,259.6333,0.014149878,301.48053,280.27704,0.0119274855,306.20422,266.3378,0.026566187
3,301.9394,274.25754,0.006847218,316.28714,260.90817,0.004785752,325.6202,212.51382,0.007157104,293.16873,274.6687,0.008418184,323.78552,259.6333,0.014683187,301.48053,280.27704,0.012177051,306.20422,266.3234,0.027661277
4,301.9394,274.25754,0.009452035,316.36188,260.6984,0.006895625,294.06543,245.60838,0.009004892,293.9182,259.43436,0.010402134,315.94,259.66034,0.019029729,301.74695,279.68176,0.017186347,306.13824,266.16553,0.034415178
5,301.9394,274.25754,0.008760238,316.4775,260.69827,0.0070330636,293.97122,245.62456,0.0076852855,293.9427,259.23624,0.00942236,315.91425,259.69678,0.018474918,301.74695,279.67804,0.015215967,306.1362,266.1587,0.031161861
6,301.91174,266.99158,0.00900233,316.4775,260.66055,0.006960031,293.9192,245.62456,0.007327262,293.9427,259.22028,0.009008308,315.90875,259.71097,0.017912302,301.74695,279.67804,0.014086922,306.1362,266.1587,0.030111114
7,301.90543,266.99158,0.008834135,316.48,260.6594,0.0070045986,293.89166,245.60838,0.0073573403,293.9182,259.21176,0.008968427,315.90875,259.7041,0.017864026,301.73676,279.68176,0.014283597,306.13824,266.16553,0.03035147
8,301.8802,266.99158,0.008670799,316.48,260.65384,0.0070194025,293.86127,245.60669,0.0071432968,293.874,259.20523,0.008741577,315.90875,259.69678,0.017609315,301.7302,279.7204,0.014136016,306.1724,266.18274,0.029790927
9,301.87842,266.99158,0.008736758,316.48,260.65384,0.006980419,293.86127,245.59258,0.007078268,293.874,259.20523,0.008721252,315.91833,259.69678,0.017554581,301.7195,279.7204,0.014138091,306.1724,266.18274,0.029551892
10,301.87747,266.99158,0.008641138,316.4888,260.63138,0.006964887,293.86127,245.59103,0.0069411043,293.874,259.20523,0.008589524,315.9257,259.66766,0.01715457,301.7195,279.7204,0.014086368,306.1724,266.18274,0.029364064
