scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,40.343597,302.61542,0.0429921,157.33273,274.1248,0.014339948,134.9105,260.7983,0.016955761,118.512955,228.943,0.01699394,178.45912,289.77225,0.039701536,150.1641,272.61966,0.17835028,155.9614,293.66248,0.6241118
1,40.345997,302.61542,0.043372117,157.33273,274.1248,0.014344442,134.91058,260.7983,0.016940285,118.51385,228.943,0.017001787,178.45912,289.77237,0.039701622,150.1641,272.61966,0.17829482,155.96141,293.6625,0.6241003
2,40.362892,302.61542,0.04342594,157.33286,274.12534,0.014312962,134.91386,260.7983,0.016981417,118.51686,228.94305,0.017012049,178.46022,289.77237,0.03970598,150.1641,272.61966,0.17851448,155.96178,293.6625,0.62465143
3,40.488758,302.50818,0.03837468,157.33447,274.12592,0.011771623,135.33142,260.72528,0.021493308,119.096436,228.94305,0.021400772,178.46115,289.77237,0.03931431,149.97052,271.9642,0.18107879,156.01166,293.6625,0.652697
4,40.488758,302.50818,0.03956534,157.38225,274.21082,0.011781363,135.33142,260.6764,0.022114266,119.24422,228.99664,0.021624496,178.46115,289.74612,0.03957244,149.97052,271.9642,0.17252684,156.01166,293.60117,0.6253761
5,40.488758,302.50818,0.03790607,180.90746,292.8267,0.011850675,135.33142,260.67087,0.022190025,119.25707,228.99785,0.021475649,178.49907,289.73785,0.039381597,149.97052,271.9642,0.17442337,156.01495,293.5408,0.61749285
6,40.427555,302.51294,0.04329886,180.92847,292.82764,0.013016265,135.32306,260.5988,0.021278609,136.68135,230.43147,0.021899074,178.77177,289.73785,0.040399328,150.03177,272.13776,0.16562422,156.01495,293.52368,0.60771054
7,40.427555,302.51294,0.039652575,181.01591,292.82764,0.0127142565,135.32306,260.57446,0.022242479,136.69023,230.43811,0.023268625,178.77888,289.73785,0.04024096,150.03178,272.13776,0.165379,156.01495,293.52222,0.6086741
8,40.427555,302.51294,0.039802022,181.01591,292.8267,0.012749626,135.32306,260.57135,0.02208943,136.69124,230.44656,0.02313953,178.77888,289.73938,0.04026758,150.03178,272.13776,0.16458476,156.01495,293.52222,0.6081091
9,40.472336,302.50778,0.036155447,181.01591,292.8267,0.012737265,135.34476,260.56265,0.022644527,136.69406,230.45035,0.023795763,178.77888,289.7473,0.040261436,150.03178,272.13776,0.16482306,156.01495,293.52368,0.60886073
10,40.472336,302.50778,0.03742053,157.45102,274.29388,0.01268348,135.3546,260.5601,0.022323348,136.69406,230.45642,0.02377522,178.75569,289.76172,0.040028434,150.03178,272.11932,0.16400881,155.98837,293.52222,0.604207
