scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,52.13111,297.90775,0.055754725,212.38177,254.00752,0.007718054,57.413475,291.21368,0.016966775,198.08058,259.83554,0.013420621,220.2709,253.81084,0.02053463,52.208683,307.36877,0.014457106,204.53862,264.32013,0.032510404
1,52.13111,297.90775,0.055781413,212.38315,254.00752,0.0077217,57.413475,291.2137,0.016951257,198.08058,259.83615,0.013415769,220.27158,253.81084,0.020510541,52.20935,307.36893,0.014451441,204.54033,264.32013,0.032567833
2,52.13111,297.90775,0.055779696,212.38396,254.00752,0.0077379323,57.413475,291.21463,0.016948674,198.08058,259.83673,0.013441482,220.27357,253.81084,0.020555846,52.209385,307.36902,0.014456083,204.55212,264.32013,0.032653153
3,51.566154,297.87082,0.063011155,287.94055,141.86385,0.008280338,57.262802,291.57782,0.020640248,198.08058,259.83673,0.009987001,316.82983,136.70035,0.020561172,52.247704,307.50336,0.015326218,302.07632,140.94743,0.03641361
4,51.555702,297.85986,0.063906804,287.94882,141.85112,0.008722379,57.2598,291.58737,0.020985471,197.93346,259.90997,0.011220666,316.87354,136.63086,0.021222867,52.254307,307.5045,0.014836216,302.07632,140.62332,0.042701438
5,51.51332,297.85663,0.063447446,287.97418,141.82089,0.008572566,57.23799,291.5981,0.020562049,197.93346,259.90997,0.010918028,316.87878,136.58496,0.021184465,52.257782,307.5045,0.015802406,302.07632,140.6109,0.04265411
6,51.51332,297.85663,0.0649434,287.97418,141.81139,0.0082867,57.23799,291.5981,0.021033617,293.78497,134.28703,0.010397929,316.87878,136.58496,0.020903282,52.255527,307.5045,0.016239367,302.07632,140.6109,0.03805684
7,51.51332,297.87082,0.063291535,287.94882,141.81139,0.008334243,57.23799,291.5981,0.020994248,293.7883,134.27658,0.010518551,316.87354,136.58324,0.020923618,52.255527,307.4759,0.01607155,302.07632,140.62332,0.038736705
8,51.57223,297.8705,0.061831657,287.922,141.80539,0.0081261275,57.2648,291.59476,0.020660523,293.78497,134.26976,0.010129122,316.87042,136.57224,0.020607805,52.256107,307.46252,0.0160038,305.99692,140.8555,0.035917882
9,51.57223,297.8705,0.06207659,287.922,141.81139,0.008147573,57.2648,291.59476,0.020743338,293.7883,134.26976,0.010186573,316.86386,136.58324,0.020649556,52.25665,307.46252,0.016024997,305.99692,140.86484,0.03608143
10,51.57223,297.8705,0.062188134,287.922,141.8124,0.00811081,57.2648,291.59476,0.020752326,293.7883,134.26976,0.0100523345,316.86362,136.58324,0.02073852,52.25665,307.46252,0.01601569,305.99692,140.86604,0.035366155
