scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,258.112,245.32536,0.02218029,143.15247,283.2443,0.010840763,248.08464,243.46568,0.013795388,246.37662,243.15344,0.020539057,275.4448,243.90118,0.025139058,243.68831,257.18222,0.02327703,259.5999,251.68388,0.22134052
1,258.3632,245.3904,0.022136869,143.15247,283.26486,0.01079902,248.08792,243.48486,0.013809854,246.4959,243.2342,0.020584445,275.44516,243.90123,0.025183205,243.68831,257.18228,0.02325811,259.60236,251.68596,0.22157733
2,258.59393,245.39297,0.019108808,143.2207,283.26486,0.011199214,256.62335,243.48486,0.011737991,246.68889,243.2342,0.018105587,275.4682,244.08739,0.02333412,243.68915,257.18228,0.021472486,259.6643,251.70973,0.17926006
3,258.58502,245.43196,0.019673208,143.2207,283.28558,0.010865493,256.81393,243.46568,0.012237812,246.60098,243.21313,0.018422082,275.4682,244.08739,0.024266183,243.68831,257.18228,0.022194114,259.6643,251.78235,0.1987879
4,258.58502,245.43196,0.019974561,143.2207,283.28558,0.011414932,256.93027,243.43254,0.011921342,246.60098,243.201,0.019679623,275.4682,244.08739,0.023013119,243.64217,257.134,0.0252744,259.6643,251.78284,0.23272559
5,258.62476,245.43196,0.01955142,143.7192,283.28558,0.011919805,256.95636,243.4325,0.01146919,246.6233,243.201,0.01910094,269.04547,243.34674,0.023292802,243.64217,257.0978,0.024367277,259.66278,251.78284,0.22139333
6,258.62476,245.43196,0.020011218,143.7609,283.28558,0.012103709,256.95636,243.4325,0.011781495,246.635,243.19945,0.019167805,269.04547,243.34674,0.02326142,243.64946,257.09357,0.024571482,259.64893,251.78235,0.22516054
7,258.60602,245.43196,0.019809647,143.7609,283.28757,0.012242738,256.93027,243.43254,0.011731886,246.6278,243.19699,0.019221865,269.04547,243.34674,0.02341612,243.64946,257.0931,0.02456627,259.64743,251.76414,0.22526722
8,258.60602,245.43001,0.01926914,143.7609,283.30276,0.011878629,256.92822,243.44315,0.0113353105,246.6278,243.19699,0.019500041,275.42783,244.09196,0.0233386,243.64946,257.086,0.024433263,259.6229,251.76108,0.23382078
9,258.58234,245.43001,0.019239653,143.7419,283.30283,0.011831411,256.90488,243.44536,0.011268357,246.6278,243.19057,0.01941856,275.42783,244.09196,0.0232759,243.67406,257.07846,0.024364838,259.6229,251.75818,0.2294771
10,258.58234,245.43001,0.019247277,143.77487,283.30276,0.011673302,248.06773,244.65038,0.011222068,246.6278,243.19028,0.019312324,275.42783,244.09196,0.023150785,243.67642,257.07788,0.024041995,259.6229,251.73866,0.22535728
