scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,54.741207,300.91833,0.02627371,190.32399,253.35387,0.0056824028,325.74176,197.25725,0.0064218007,197.55223,260.06467,0.008448293,50.03715,253.86562,0.011986159,327.2626,205.15395,0.009382296,204.94661,260.18927,0.017945265
1,54.744194,300.94394,0.027523812,190.44638,253.36612,0.005570105,325.87155,197.32185,0.007273708,197.59538,260.06467,0.008737222,50.038136,253.86562,0.011975957,327.49548,205.15395,0.009813147,205.01865,260.18927,0.012753873
2,54.7452,300.94473,0.027632143,190.44638,253.37103,0.00578949,325.8868,197.32993,0.007053059,197.59538,260.07098,0.008657022,50.038464,295.2385,0.0120214885,327.51498,205.15701,0.009721301,205.01865,260.21646,0.013911819
3,54.7452,300.94473,0.027472924,190.44638,253.37128,0.0057776454,325.88742,197.3301,0.006981373,197.59538,260.07263,0.0087124985,50.038464,295.24722,0.012682037,327.51944,205.15701,0.009681598,204.94661,260.21646,0.014963179
4,54.746864,300.9447,0.027591035,190.41708,253.37128,0.005727293,325.88742,197.3301,0.0070551885,197.55609,260.07242,0.00862779,50.03887,295.24918,0.011989896,327.51944,205.15701,0.00972982,204.81789,260.25092,0.013020018
5,54.746864,300.94434,0.027528243,190.4096,253.37129,0.0057294494,325.8868,197.3301,0.00709526,197.54945,260.07242,0.008622094,50.03887,295.24918,0.011966965,327.51498,205.15701,0.00975654,204.81395,260.25238,0.013030298
6,54.7452,300.9447,0.0275754,190.40706,253.37135,0.005732875,325.8868,197.3301,0.0071082553,197.5483,260.07263,0.0086424295,50.038464,295.25095,0.011986551,327.51498,205.15701,0.0097720465,204.81363,260.25266,0.013110526
7,54.4948,300.9447,0.030265344,190.40683,253.3751,0.0057269717,325.87814,197.3224,0.007034478,197.5483,260.07397,0.008621139,49.981888,295.43057,0.0128525095,327.51126,205.15431,0.0097206915,204.81363,260.25266,0.0130111
8,54.160698,300.94952,0.03405458,43.896156,315.78177,0.0063225594,325.86987,197.31659,0.006990586,197.54918,260.07397,0.008610326,49.881813,295.68097,0.013848221,327.50922,205.15411,0.009699216,204.81418,260.252,0.012938654
9,54.160698,300.95386,0.03409169,43.896156,315.78192,0.0063313073,325.86987,197.31659,0.0069877263,197.54608,260.07455,0.008613711,49.881813,295.683,0.013855485,327.50922,205.15411,0.009722421,204.81418,260.252,0.0129548535
10,54.15633,300.954,0.034112368,43.895935,315.78192,0.006325833,325.86987,197.31659,0.006989791,197.54462,260.0756,0.008624419,49.880787,295.68515,0.013855102,327.50922,205.15411,0.009726264,204.81567,260.25104,0.012983475
