scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,301.77533,440.92038,0.008316134,164.96002,453.77225,0.005792598,295.26117,454.11188,0.010002297,309.76526,453.5377,0.022986047,315.1522,447.36755,0.017502664,308.60928,465.57794,0.021874117,300.5915,453.65063,0.03613056
1,301.77734,440.92038,0.008307662,164.96083,453.77512,0.005779073,295.2612,454.1155,0.01001467,309.76657,453.5377,0.022956397,315.1522,447.36755,0.017459465,308.64508,465.57834,0.021830214,300.64227,453.65234,0.036108833
2,302.14087,451.7836,0.009670504,165.01335,453.811,0.005785414,302.70218,454.1751,0.006921638,309.83997,453.5377,0.019120462,315.1522,447.36755,0.013332229,308.65796,466.23474,0.016584676,300.6609,454.779,0.027064376
3,302.15897,451.8297,0.008943603,165.01567,453.811,0.005784265,309.94336,469.11737,0.0079877665,309.84335,453.36118,0.015138373,294.53943,447.3673,0.0114616435,308.65793,466.76016,0.011083785,300.6609,456.006,0.02170496
4,302.1652,451.83096,0.008736825,165.03372,453.811,0.0060453056,309.9449,469.12448,0.008178634,309.84842,453.35596,0.01517038,294.53357,447.36197,0.011376118,308.65714,466.77414,0.011056569,300.6609,456.05743,0.021247078
5,302.1652,451.83096,0.008705612,165.03372,453.80444,0.005973388,309.9464,469.12448,0.008126452,309.8479,453.3358,0.015148691,294.53357,447.3544,0.011442656,308.6575,466.77502,0.010988898,300.66388,456.05743,0.021198913
6,302.1654,451.8297,0.00870545,165.03372,453.7843,0.005996281,309.94998,469.12448,0.0081959115,309.84842,453.3332,0.0151232965,294.53357,447.34995,0.011428054,308.65793,466.77515,0.011009658,300.664,456.05743,0.021129608
7,302.1654,451.82846,0.008697734,165.03056,453.78317,0.0059707975,309.9505,469.12448,0.00819098,309.84866,453.3297,0.015200609,294.53357,447.34766,0.0114405975,308.65778,466.77515,0.011112351,300.6664,456.04694,0.02121565
8,302.1654,451.82156,0.008777159,165.02441,453.77753,0.0059338976,309.9505,469.13214,0.008048228,309.84866,453.32422,0.015163152,294.526,447.3467,0.011394987,308.6575,466.7761,0.010953053,300.66864,456.04486,0.021223495
9,302.1654,451.82156,0.008721711,165.02197,453.7738,0.0059200036,309.9533,469.13214,0.008007049,309.84866,453.3231,0.015045933,294.526,447.34146,0.011371616,308.6575,466.77515,0.010809986,300.6704,456.03516,0.021125067
10,302.16425,451.8214,0.008785716,165.01645,453.77182,0.00579514,309.9533,469.13214,0.007964093,309.84866,453.3213,0.015058326,294.52158,447.34024,0.011383812,308.65674,466.77515,0.0108045535,300.6704,456.03302,0.021226723
