scorer,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015,DLC_Resnet50_capstoneTop50Nov8shuffle1_snapshot_015
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,spine_middle,spine_middle,spine_middle,tail_base,tail_base,tail_base,tail_middle,tail_middle,tail_middle,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,46.962227,302.9184,0.14306386,35.07829,314.25424,0.047410384,42.80176,314.7319,0.052538674,54.565147,315.15872,0.013761496,48.683468,299.17603,0.033800054,50.979713,308.4489,0.021040509,307.20197,153.53111,0.01833204
1,46.962227,302.92398,0.14329222,35.07829,314.25424,0.047605928,42.80185,315.2957,0.052760713,54.565147,315.16226,0.013745278,48.683872,299.1839,0.033805754,50.97985,308.45062,0.021051742,307.20197,153.53111,0.01832952
2,46.962452,302.92456,0.14332226,35.078403,314.25436,0.047638346,42.824066,315.2957,0.05279553,54.565365,315.16248,0.013746135,48.68492,299.1839,0.03380435,50.981052,308.45065,0.021053325,307.20197,153.53111,0.018336121
3,46.962452,302.98666,0.15170449,35.078403,314.25436,0.049527925,42.824066,315.2957,0.050897334,54.565147,315.2332,0.012616036,48.72213,299.1839,0.03433196,51.022404,308.5121,0.023180181,307.20197,153.09346,0.018175563
4,46.962227,303.00604,0.14628045,35.07829,314.25424,0.047723394,42.824066,315.25323,0.050909724,54.540977,315.2332,0.012527369,48.72213,299.1844,0.034019865,51.022404,308.52512,0.022205653,306.95593,153.09346,0.018416274
5,47.05326,303.00845,0.1479616,35.06366,314.2533,0.048592072,42.843437,315.25323,0.05150043,54.484703,315.2613,0.012493334,48.72213,299.22284,0.033967026,51.026848,308.52512,0.02243994,306.94986,153.09346,0.012083592
6,47.05326,303.00604,0.15932699,35.06366,314.20728,0.05405792,42.843437,315.25323,0.057959866,54.410473,315.2613,0.012268135,48.67588,299.22284,0.03466436,51.025173,308.52512,0.023357494,205.8189,259.06293,0.013023493
7,47.040855,303.00604,0.15049976,35.06366,314.20728,0.05474909,42.843437,315.25323,0.058066,54.403793,315.2613,0.011891452,48.671734,299.22284,0.034402184,51.022404,308.496,0.02311052,98.92154,441.2853,0.013975597
8,47.040855,302.99695,0.14723735,35.06366,314.20728,0.055039875,42.843437,315.25323,0.05919205,54.402256,315.25684,0.01284615,48.671734,299.22284,0.03417034,51.020203,308.46698,0.022330496,98.9113,441.36554,0.0138246585
9,47.040855,302.98962,0.14809275,35.08488,314.23428,0.050867032,42.843437,315.25485,0.054031387,54.402256,315.25684,0.012409013,48.67376,299.22284,0.034525394,51.01731,308.4646,0.022943795,98.9113,441.36554,0.01257047
10,47.018635,302.98242,0.14745788,35.08566,314.23514,0.05037276,42.828915,315.25485,0.053939164,54.410473,315.24872,0.01249087,48.67376,299.206,0.034431856,51.01731,308.4614,0.02279433,98.92154,441.36554,0.012633787
